Npc_ShopTrade#0,"""Магазин переработки"""
Npc_ShopTrade_sg_limit#0,"""[Временный] SG магазин переработки"""
Npc_ShopTrade_c#0,"""Магазин крафта 1"""
Npc_ShopTrade_c2#0,"""Магазин крафта 2"""
Npc_ShopTrade_c3#0,"""Магазин крафта 3"""
Npc_ShopTrade2_s#0,"""Обмен камней \""Kagaseo\"""""
Npc_ShopTrade2_k#0,"""Переработать сияющие камни"""
Npc_ShopTrade2_m#0,"""Переработать маг. камни и оружие"""
Npc_ShopTrade2_m_2#0,"""Обмен юнитов"""
Npc_ShopTrade2_large_k1#0,"""Большие сияющие камни/оружие 1"""
Npc_ShopTrade2_large_k2#0,"""Большие сияющие камни/оружие 2"""
Npc_ShopTrade2_large_k3#0,"""Переработка больших сияющих камней 3"""
Npc_ShopTrade2_1#0,"""Прочее"""
Npc_ShopTrade2_2#0,"""Прочее"""
Npc_ShopTrade2_c#0,"""Обмен камней \""Galeru\"""""
Npc_ShopTrade2_d#0,"""Обмен камней \""Ares\"""""
Npc_ShopPoint#0,"""Магазин обмена значков и воспоминаний"""
Npc_ShopPoint1_b#0,"""Обмен значков (Blue, Yellow, Orange)"""
Npc_ShopPoint2_b#0,"""Обмен значков  (Green/Peach)"""
Npc_ShopPoint3_b#0,"""Обмен воспоминаний"""
Npc_ShopPoint4_b#0,"""Обмен значков оружия 2015"""
Npc_ShopPoint4_c#0,"""Обмен значков оружия 2016"""
Npc_ShopPoint4_d#0,"""Обмен значков оружия 2017"""
Npc_ShopPoint2#0,"""Магазин обмена фотонных частиц"""
Npc_ShopPoint3#0,"""Магазин обмена экскубов"""
Npc_ShopPoint3_d1#0,"""Обмен S-дисков 1"""
Npc_ShopPoint3_d2#0,"""Обмен S-дисков 2"""
Npc_ShopPoint3_s#0,"""Обмен R-дисков"""
Npc_ShopPoint3_h#0,"""Обмен T-дисков"""
Npc_ShopPoint4#0,"""Магазин обмена наград"""
Npc_ShopReform2_1anv#0,"""FUN-магазин 2-й годовщины (по 20 августа)"""
Npc_ShopReform2_a#0,"""FUN-магазин (расходники)"""
Npc_ShopReform2_b#0,"""FUN-магазин (лобби-экшены)"""
Npc_ShopReform2_c#0,"""FUN-магазин (предметы комнаты)"""
